title,perspective,seendate,domain
CAP payments support Irish farming community sustainability,producer,2023-01-01,synthetic
Organic farming expansion in Ireland gains momentum,producer,2023-01-01,synthetic
Irish agri-food exports exceed EUR 16 billion for the first time,producer,2023-01-01,synthetic
Farmers concerned over fertilizer price increases impacting margins,producer,2023-01-01,synthetic
New nitrates regulations worry Irish tillage farmers,producer,2023-01-01,synthetic
Ireland ranks among top EU dairy producers per capita,producer,2023-01-01,synthetic
Irish Farmers Association welcomes new CAP reform support,producer,2023-01-01,synthetic
Severe weather threatens Irish crop yields this harvest season,producer,2023-01-01,synthetic
Government investment in rural agriculture welcomed by farmers,producer,2023-01-01,synthetic
Prolonged drought conditions reduce Irish grass growth forecasts,producer,2023-01-01,synthetic
Positive outlook for Irish pork sector in Asian export markets,producer,2023-01-01,synthetic
Irish dairy farmers face challenges amid rising feed costs,producer,2023-01-01,synthetic
Record milk production in Ireland following quota abolition,producer,2023-01-01,synthetic
Irish beef exports reach new high in European markets,producer,2023-01-01,synthetic
Teagasc reports strong farm incomes for Irish livestock sector,producer,2023-01-01,synthetic
CAP payments support Irish farming community sustainability,producer,2023-01-01,synthetic
Organic farming expansion in Ireland gains momentum,producer,2023-01-01,synthetic
Irish agri-food exports exceed EUR 16 billion for the first time,producer,2023-01-01,synthetic
Farmers concerned over fertilizer price increases impacting margins,producer,2023-01-01,synthetic
New nitrates regulations worry Irish tillage farmers,producer,2023-01-01,synthetic
Ireland ranks among top EU dairy producers per capita,producer,2023-01-01,synthetic
Irish Farmers Association welcomes new CAP reform support,producer,2023-01-01,synthetic
Severe weather threatens Irish crop yields this harvest season,producer,2023-01-01,synthetic
Government investment in rural agriculture welcomed by farmers,producer,2023-01-01,synthetic
Prolonged drought conditions reduce Irish grass growth forecasts,producer,2023-01-01,synthetic
Positive outlook for Irish pork sector in Asian export markets,producer,2023-01-01,synthetic
Irish dairy farmers face challenges amid rising feed costs,producer,2023-01-01,synthetic
Record milk production in Ireland following quota abolition,producer,2023-01-01,synthetic
Irish beef exports reach new high in European markets,producer,2023-01-01,synthetic
Teagasc reports strong farm incomes for Irish livestock sector,producer,2023-01-01,synthetic
CAP payments support Irish farming community sustainability,producer,2023-01-01,synthetic
Organic farming expansion in Ireland gains momentum,producer,2023-01-01,synthetic
Irish agri-food exports exceed EUR 16 billion for the first time,producer,2023-01-01,synthetic
Farmers concerned over fertilizer price increases impacting margins,producer,2023-01-01,synthetic
New nitrates regulations worry Irish tillage farmers,producer,2023-01-01,synthetic
Ireland ranks among top EU dairy producers per capita,producer,2023-01-01,synthetic
Irish Farmers Association welcomes new CAP reform support,producer,2023-01-01,synthetic
Severe weather threatens Irish crop yields this harvest season,producer,2023-01-01,synthetic
Government investment in rural agriculture welcomed by farmers,producer,2023-01-01,synthetic
Prolonged drought conditions reduce Irish grass growth forecasts,producer,2023-01-01,synthetic
Positive outlook for Irish pork sector in Asian export markets,producer,2023-01-01,synthetic
Irish consumers face higher food prices at supermarket checkouts,consumer,2023-01-01,synthetic
Demand for Irish organic produce rises among health-conscious shoppers,consumer,2023-01-01,synthetic
Consumers support Irish farmers through local market purchasing,consumer,2023-01-01,synthetic
Food inflation hits Irish households as agricultural costs rise,consumer,2023-01-01,synthetic
Irish consumers increasingly aware of food provenance and labelling,consumer,2023-01-01,synthetic
Supermarkets see surge in demand for locally sourced Irish beef,consumer,2023-01-01,synthetic
Consumer groups call for transparency in Irish food supply chain,consumer,2023-01-01,synthetic
Rising grocery bills strain Irish household budgets in 2024,consumer,2023-01-01,synthetic
Demand for Irish dairy products grows in premium food segments,consumer,2023-01-01,synthetic
Consumers willing to pay more for sustainably produced Irish food,consumer,2023-01-01,synthetic
Irish food security concerns raised amid global supply disruptions,consumer,2023-01-01,synthetic
Local food movements thrive as consumers reconnect with Irish farming,consumer,2023-01-01,synthetic
Prices of fresh produce rise in Irish supermarkets this quarter,consumer,2023-01-01,synthetic
Consumer confidence in Irish food quality remains high in surveys,consumer,2023-01-01,synthetic
Irish shoppers prioritise animal welfare in food purchasing choices,consumer,2023-01-01,synthetic
Irish consumers face higher food prices at supermarket checkouts,consumer,2023-01-01,synthetic
Demand for Irish organic produce rises among health-conscious shoppers,consumer,2023-01-01,synthetic
Consumers support Irish farmers through local market purchasing,consumer,2023-01-01,synthetic
Food inflation hits Irish households as agricultural costs rise,consumer,2023-01-01,synthetic
Irish consumers increasingly aware of food provenance and labelling,consumer,2023-01-01,synthetic
Supermarkets see surge in demand for locally sourced Irish beef,consumer,2023-01-01,synthetic
Consumer groups call for transparency in Irish food supply chain,consumer,2023-01-01,synthetic
Rising grocery bills strain Irish household budgets in 2024,consumer,2023-01-01,synthetic
Demand for Irish dairy products grows in premium food segments,consumer,2023-01-01,synthetic
Consumers willing to pay more for sustainably produced Irish food,consumer,2023-01-01,synthetic
Irish food security concerns raised amid global supply disruptions,consumer,2023-01-01,synthetic
Local food movements thrive as consumers reconnect with Irish farming,consumer,2023-01-01,synthetic
Prices of fresh produce rise in Irish supermarkets this quarter,consumer,2023-01-01,synthetic
Consumer confidence in Irish food quality remains high in surveys,consumer,2023-01-01,synthetic
Irish shoppers prioritise animal welfare in food purchasing choices,consumer,2023-01-01,synthetic
Irish consumers face higher food prices at supermarket checkouts,consumer,2023-01-01,synthetic
Demand for Irish organic produce rises among health-conscious shoppers,consumer,2023-01-01,synthetic
Consumers support Irish farmers through local market purchasing,consumer,2023-01-01,synthetic
Food inflation hits Irish households as agricultural costs rise,consumer,2023-01-01,synthetic
Irish consumers increasingly aware of food provenance and labelling,consumer,2023-01-01,synthetic
Supermarkets see surge in demand for locally sourced Irish beef,consumer,2023-01-01,synthetic
Consumer groups call for transparency in Irish food supply chain,consumer,2023-01-01,synthetic
Rising grocery bills strain Irish household budgets in 2024,consumer,2023-01-01,synthetic
Demand for Irish dairy products grows in premium food segments,consumer,2023-01-01,synthetic
Consumers willing to pay more for sustainably produced Irish food,consumer,2023-01-01,synthetic
Irish food security concerns raised amid global supply disruptions,consumer,2023-01-01,synthetic
Local food movements thrive as consumers reconnect with Irish farming,consumer,2023-01-01,synthetic
Prices of fresh produce rise in Irish supermarkets this quarter,consumer,2023-01-01,synthetic
Consumer confidence in Irish food quality remains high in surveys,consumer,2023-01-01,synthetic
Irish shoppers prioritise animal welfare in food purchasing choices,consumer,2023-01-01,synthetic
Irish consumers face higher food prices at supermarket checkouts,consumer,2023-01-01,synthetic
Demand for Irish organic produce rises among health-conscious shoppers,consumer,2023-01-01,synthetic
Consumers support Irish farmers through local market purchasing,consumer,2023-01-01,synthetic
Food inflation hits Irish households as agricultural costs rise,consumer,2023-01-01,synthetic
Irish consumers increasingly aware of food provenance and labelling,consumer,2023-01-01,synthetic
Supermarkets see surge in demand for locally sourced Irish beef,consumer,2023-01-01,synthetic
Consumer groups call for transparency in Irish food supply chain,consumer,2023-01-01,synthetic
Rising grocery bills strain Irish household budgets in 2024,consumer,2023-01-01,synthetic
Demand for Irish dairy products grows in premium food segments,consumer,2023-01-01,synthetic
Consumers willing to pay more for sustainably produced Irish food,consumer,2023-01-01,synthetic
Irish food security concerns raised amid global supply disruptions,consumer,2023-01-01,synthetic
Local food movements thrive as consumers reconnect with Irish farming,consumer,2023-01-01,synthetic
Prices of fresh produce rise in Irish supermarkets this quarter,consumer,2023-01-01,synthetic
Consumer confidence in Irish food quality remains high in surveys,consumer,2023-01-01,synthetic
Irish shoppers prioritise animal welfare in food purchasing choices,consumer,2023-01-01,synthetic
Irish consumers face higher food prices at supermarket checkouts,consumer,2023-01-01,synthetic
Demand for Irish organic produce rises among health-conscious shoppers,consumer,2023-01-01,synthetic
Consumers support Irish farmers through local market purchasing,consumer,2023-01-01,synthetic
Food inflation hits Irish households as agricultural costs rise,consumer,2023-01-01,synthetic
Irish consumers increasingly aware of food provenance and labelling,consumer,2023-01-01,synthetic
Supermarkets see surge in demand for locally sourced Irish beef,consumer,2023-01-01,synthetic
Consumer groups call for transparency in Irish food supply chain,consumer,2023-01-01,synthetic
Rising grocery bills strain Irish household budgets in 2024,consumer,2023-01-01,synthetic
Demand for Irish dairy products grows in premium food segments,consumer,2023-01-01,synthetic
Consumers willing to pay more for sustainably produced Irish food,consumer,2023-01-01,synthetic
Irish food security concerns raised amid global supply disruptions,consumer,2023-01-01,synthetic
Local food movements thrive as consumers reconnect with Irish farming,consumer,2023-01-01,synthetic
Prices of fresh produce rise in Irish supermarkets this quarter,consumer,2023-01-01,synthetic
Consumer confidence in Irish food quality remains high in surveys,consumer,2023-01-01,synthetic
Irish shoppers prioritise animal welfare in food purchasing choices,consumer,2023-01-01,synthetic
